Model,Seed,Team,Round64,Round32,Sweet16,Elite8,Final4,TitleGame,AvgPts,ExpValue
model_9,3,Michigan State,100.0%,72.7%,41.7%,1.0%,0.1%,0.0%,73.5,$41.58
model_9,10,Missouri,14.8%,0.0%,0.0%,0.0%,0.0%,0.0%,66.8,$1.45
model_9,4,Nebraska,100.0%,39.5%,2.6%,0.2%,0.0%,0.0%,73.9,$18.88
model_9,6,North Carolina,76.8%,1.0%,0.0%,0.0%,0.0%,0.0%,68.6,$7.73
model_9,14,North Dakota State,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,58.7,$0.00
model_9,12,Northern Iowa,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,63.2,$0.03
model_9,8,Ohio State,82.1%,0.1%,0.0%,0.0%,0.0%,0.0%,67.6,$8.07
model_9,14,Penn,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.1,$0.00
model_9,16,Prairie View A&M,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,59.6,$0.00
model_9,2,Purdue,100.0%,98.2%,74.9%,7.7%,0.6%,0.1%,73.8,$66.24
model_9,15,Queens,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.2,$0.00
model_9,9,Saint Louis,32.4%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7,$3.17
model_9,7,Saint Mary's,81.3%,2.0%,0.1%,0.0%,0.0%,0.0%,69.0,$8.40
model_9,10,Santa Clara,33.8%,0.1%,0.0%,0.0%,0.0%,0.0%,67.6,$3.34
model_9,16,Siena,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.5,$0.00
model_9,11,South Florida,3.0%,0.0%,0.0%,0.0%,0.0%,0.0%,65.3,$0.30
model_9,5,St. John's,99.7%,61.5%,0.3%,0.1%,0.0%,0.0%,71.4,$22.18
model_9,9,TCU,17.9%,0.0%,0.0%,0.0%,0.0%,0.0%,66.5,$1.75
model_9,6,Tennessee,100.0%,44.6%,5.1%,0.1%,0.0%,0.0%,72.7,$20.72
model_9,15,Tennessee State,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0,$0.00
model_9,11,Texas,19.3%,0.7%,0.0%,0.0%,0.0%,0.0%,67.5,$2.03
model_9,10,Texas A&M,18.7%,0.0%,0.0%,0.0%,0.0%,0.0%,67.0,$1.84
model_9,5,Texas Tech,99.4%,45.6%,0.3%,0.0%,0.0%,0.0%,71.3,$18.92
model_9,13,Troy,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,58.2,$0.00
model_9,10,UCF,9.3%,0.0%,0.0%,0.0%,0.0%,0.0%,66.5,$0.93
model_9,7,UCLA,90.7%,10.7%,1.4%,0.0%,0.0%,0.0%,70.1,$11.56
model_9,2,UConn,100.0%,89.2%,47.0%,0.9%,0.0%,0.0%,74.5,$46.88
model_9,16,UMBC,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,59.9,$0.00
model_9,9,Utah State,56.1%,0.0%,0.0%,0.0%,0.0%,0.0%,67.2,$5.50
