Rk	Team	Conf	W-L	NetRtg	ORtg	DRtg	AdjT	Luck	NetRtg	ORtg	DRtg	NetRtg
102	DePaul	BE	16-16	+6.83	107.1	209	100.3	34	66.2	241	-.014	225	+7.98	78	113.4	78	105.4	71	-9.93	362
103	Illinois St.	MVC	20-12	+6.66	110.5	146	103.9	75	66.7	221	-.009	209	+1.34	125	109.9	124	108.6	146	-2.80	262
104	UC Irvine	BW	23-11	+6.21	104.9	255	98.7	26	68.2	133	-.016	228	-0.70	167	108.4	197	109.1	165	+0.61	169
105	Illinois Chicago	MVC	19-15	+6.16	110.4	149	104.3	83	66.3	231	-.061	325	+1.60	116	110.1	117	108.5	145	-2.33	254
106	Cal Baptist 13	WAC	25-8	+5.99	107.9	191	101.9	50	65.8	265	+.091	19	-1.95	204	107.1	265	109.1	161	-3.32	275
107	UNLV	MWC	17-16	+5.97	115.0	84	109.1	172	69.8	55	+.003	181	+6.44	83	112.4	84	106.0	85	+1.19	146
108	Hawaii 13	BW	24-8	+5.97	107.1	211	101.2	43	69.7	61	+.038	92	-3.37	228	106.6	277	109.9	191	-11.24	364
109	St. Thomas	Sum	24-9	+5.88	114.0	95	108.1	146	68.2	126	-.034	280	-5.66	275	107.3	260	112.9	320	-0.94	213
110	UNC Wilmington	CAA	26-6	+5.79	111.9	119	106.1	114	65.1	303	+.028	117	-5.08	266	106.4	282	111.4	247	-8.33	350
111	Sam Houston St.	CUSA	22-11	+5.56	113.5	102	107.9	142	70.0	41	-.007	208	-0.19	158	109.7	131	109.9	185	+6.04	53
112	Pacific	WCC	18-15	+5.42	110.7	142	105.3	99	64.3	331	-.020	238	+2.91	106	110.5	106	107.6	113	-0.01	187
113	North Dakota St. 14	Sum	27-7	+5.13	111.7	124	106.6	124	66.3	237	+.040	89	-5.83	282	106.5	280	112.3	293	-0.97	214
114	Davidson	A10	20-13	+4.94	109.6	161	104.7	89	63.6	343	+.033	104	+2.05	111	109.6	136	107.5	112	-0.10	189
115	UT Rio Grande Valley	Slnd	19-14	+4.57	111.0	136	106.4	120	66.3	230	-.056	318	-1.23	182	107.9	238	109.1	163	+8.31	27
116	Saint Joseph's	A10	22-11	+4.56	107.3	205	102.7	63	68.0	135	+.088	20	+1.41	122	109.2	155	107.8	120	-5.00	302
117	Southern Illinois	MVC	16-16	+4.55	103.8	273	99.2	29	68.9	95	-.094	355	+1.80	114	109.9	125	108.1	130	-0.17	191
118	UC San Diego	BW	23-11	+4.53	107.8	193	103.3	68	67.2	190	+.010	160	-1.02	177	107.9	239	108.9	154	+0.31	177
119	Seattle	WCC	20-13	+4.49	102.2	298	97.7	21	67.6	167	+.017	137	+1.62	115	110.6	103	109.0	159	-3.51	279
120	Maryland	B10	12-21	+4.25	111.1	133	106.9	127	66.1	247	+.016	139	+14.68	12	117.4	17	102.7	11	+1.56	134
